line_number,status,reasons,left_or_columns,right
3899,malformed_unrepaired,malformed_csv,"ᎬᏂᏛ ᏕᎦᏅᏅ ᏕᏍᎩᎾᏄᎪᏫᏎᎸ, ᎠᎵᎮᎵᏍᏗ ᎨᏒ ᏓᏍᎩᎧᎵᎢᏍᏔᏂ ᏣᎧᏛ ᏛᏔᏂ."", Thou madest known unto me the ways of life; Thou shalt make me full of gladness with thy countenance.""",
4087,malformed_unrepaired,malformed_csv,"ᏝᏍᎪ ᎠᏉᏰᏂ ᎠᏋᏔᏅᎯ ᎠᏉᏢᏅᎯ ᏱᎩ ᎯᎠ ᏂᎦᏛ ᏥᏄᏍᏗᏓᎾ?"", Did not my hand make all these things?""",
4130,malformed_unrepaired,malformed_csv,"ᎤᏲ ᏄᏛᎿᏕᎬᎢ ᎠᏥᎩᎡᎸᎩ ᎤᏤᎵ ᎨᏒ ᏚᏳᎪᏛᎢ; ᎠᎴ ᎦᎪ ᏙᏓᎧᏃᎮᎵ ᏴᏫ ᎾᎯᏳ ᏤᎮ ᎠᏁᎯ? ᎬᏅᏰᏃ ᎤᏂᎩᏒᎩ ᎡᎶᎯ."", In his humiliation his judgment was taken away: His generation who shall declare? For his life is taken from the earth.""",
8411,malformed_unrepaired,malformed_csv,"ᎨᏍᏗ ᎠᏰᎵ ᏯᎾᏓᏬᎠ ᎦᏣᏄᎵ ᎨᏴᎢ ᎠᎹ, ᎭᎾᎾ ᎠᎾᏓᏉᏍᎪ ᎠᏁᏉᎯᎨ ᎠᏂᏣᏗ, ᎭᏂ ᏥᎾᏓᏬ ᏃᏉ!"", They do not swim in the middle where the fast water flows. That is where the big fish swim and that is where we are now!""""",
2,rejected,low_cherokee_left|english_left,Chunestudy feels at home as CHC curator - ᏣᎳᎩ,Chunestudy feels at home as CHC curator
5,rejected,low_cherokee_left,"Callie Chunestudy, 34, ᏅᏓᏕᏆ.","Callie Chunestudy, 34, took over the position on Nov."
311,rejected,source_tag,"ᎯᎠᏃ ᏄᎵᏍᏔᏅᎩ, ᎦᏅᎬ [ᎠᎵᏍᏓᏴᎲᏍᎬ] ᎦᎵᏦᏕ, ᎬᏂᏳᏉ ᎤᏂᏣᏛᎩ ᎠᏕᎸ ᎠᏂᎩᏏᏙᎯ ᎠᎴ ᎠᏂᏍᎦᎾ ᎤᏂᎷᏨ ᎤᎾᏂᏢᏅᎩ ᎠᏂᏅᏜᎥ ᏥᏌ ᎠᎴ ᎬᏩᏍᏓᏩᏗᏙᎯ.","And it came to pass, as he sat at meat in the house, behold, many publicans and sinners came and sat down with Jesus and his disciples."
315,rejected,source_tag,"ᎿᏉᏃ ᏣᏂ ᎬᏩᏍᏓᏩᏗᏙᎯ [ᏥᏌ] ᎬᏩᎷᏤᎸᎩ, ᎯᎠ ᏂᎬᏩᏪᏎᎸᎩ; ᎦᏙᏃ ᎠᏴ ᎠᏂᏆᎵᏏᏃ ᏯᏃ ᎠᎹᏟ ᏦᏨᏍᎦ, ᏂᎯᏃ ᎨᏣᏍᏓᏩᏗᏙᎯ ᎠᎹᏟ ᎾᏅᏍᎬᎾ ᏥᎩ?","Then come to him the disciples of John, saying, Why do we and the Pharisees fast oft, but thy disciples fast not?"
561,rejected,source_tag,"ᏂᎦᎸᏉᏗᏍᎬᎾᏃ ᎢᎨᏎᏍᏗ ᎤᏙᏓ, ᎠᎴ ᎤᏥ, [ᎥᏝ ᎤᏍᎦᏅᏨᎯ ᏱᎨᏎᏍᏗ,] ᎢᏣᏗᏍᎪᎢ. ᎾᏍᎩ ᎯᎠ ᎡᏘ ᎠᏁᎯ ᎤᏂᏃᎮᎸᎯ ᎢᏨᏔᏅ ᎠᏎᏉ ᏂᏨᏁᎸ ᎤᏁᎳᏅᎯ ᎤᏁᏨᎯ.",he shall not honor his father. And ye have made void the word of God because of your tradition.
608,rejected,source_tag,"ᎯᎠᏃ ᏄᏂᏪᏒᎩ; ᎢᎦᏛ ᏣᎦᏛ ᏣᏂ ᏗᏓᏬᏍᎩ [ᎨᏦᏎᎰᎢ,] ᎢᎦᏛᏃ ᎢᎳᏯ, ᎠᏂᏐᎢᏃ ᏤᎵᎹᏯ ᎠᎴ ᎩᎶ ᎢᏳᏍᏗ ᎠᎾᏙᎴᎰᏍᎩ ᎨᏒᎢ.","And they said, Some say John the Baptist; some, Elijah; and others, Jeremiah, or one of the prophets."
