line_number,status,reasons,domain,training_exclusion_reasons,repaired_cherokee,repaired_english,raw_columns
3224,accepted_after_repair,,general_parallel,named_entity_heavy,"ᎯᎠ ᏂᎬᏅ ᎪᏪᎳ ᎠᎾᏙᎴᎰᏍᎩᏱ; ᎠᎴ ᏂᎦᏛ ᎤᏁᎳᏅᎯ ᏧᏪᏲᏅᎯ ᎨᏎᏍᏗ."" ᎾᏍᎩ ᎢᏳᏍᏗ ᏂᎦᏛ ᎤᎾᏛᎦᏁᎸᎯ ᎠᎴ ᎤᎾᏕᎶᏆᎡᎸᎯ ᎠᎦᏴᎵᎨᎢ, ᎬᎩᎷᏤᎰᎢ.""","It is written in the prophets, And they shall all be taught of God. Every one that hath heard from the Father, and hath learned, cometh unto me.","ᎯᎠ ᏂᎬᏅ ᎪᏪᎳ ᎠᎾᏙᎴᎰᏍᎩᏱ; ᎠᎴ ᏂᎦᏛ ᎤᏁᎳᏅᎯ ᏧᏪᏲᏅᎯ ᎨᏎᏍᏗ."" ᎾᏍᎩ ᎢᏳᏍᏗ ᏂᎦᏛ ᎤᎾᏛᎦᏁᎸᎯ ᎠᎴ ᎤᎾᏕᎶᏆᎡᎸᎯ ᎠᎦᏴᎵᎨᎢ || ᎬᎩᎷᏤᎰᎢ."" || It is written in the prophets, And they shall all be taught of God. Every one that hath heard from the Father, and hath learned, cometh unto me."
3517,accepted_after_repair,,general_parallel,,"ᏞᏍᏗ ᏱᏍᎦᎢᎮᏍᏗ ᏂᎯ ᏌᏯᏂ ᎤᏪᏥ, ᎬᏂᏳᏉ ᎤᎬᏫᏳᎯ ᏣᏤᎵᎦ ᏓᏯᎢ, ᎠᎩᎾ ᏐᏈᎵ-ᏗᎦᎵᎠᏅᎯᏛ ᎤᏪᏥ ᎤᎩᎸᏗ.""""","Fear not, daughter of Zion: behold, thy King cometh, sitting on an ass’s colt.","ᏞᏍᏗ ᏱᏍᎦᎢᎮᏍᏗ ᏂᎯ ᏌᏯᏂ ᎤᏪᏥ || ᎬᏂᏳᏉ ᎤᎬᏫᏳᎯ ᏣᏤᎵᎦ ᏓᏯᎢ || ᎠᎩᎾ ᏐᏈᎵ-ᏗᎦᎵᎠᏅᎯᏛ ᎤᏪᏥ ᎤᎩᎸᏗ."""" || Fear not, daughter of Zion: behold, thy King cometh, sitting on an ass’s colt."
3540,accepted_after_repair,,general_parallel,named_entity_heavy,"ᎾᏍᎩᏃ ᎤᏙᎯᏳᏅᎩ ᎤᏁᏨ ᎢᏌᏯ ᎠᏙᎴᎰᏍᎩ, ᎯᎠ ᏥᏄᏪᏎᎢ; ᏣᎬᏫᏳᎰ, ᎦᎪ ᎤᏬᎯᏳᏅ ᎣᎩᏃᎮᎸᎢ? ᎠᎴ ᎦᎪ ᎠᏥᎾᏄᎪᏫᏎᎸ ᎤᎬᏫᏳᎯ ᎧᏃᎨᏂ?""""","that the word of Isaiah the prophet might be fulfilled, which he spake, Lord, who hath believed our report? And to whom hath the arm of the Lord been revealed?","ᎾᏍᎩᏃ ᎤᏙᎯᏳᏅᎩ ᎤᏁᏨ ᎢᏌᏯ ᎠᏙᎴᎰᏍᎩ, ᎯᎠ ᏥᏄᏪᏎᎢ; ᏣᎬᏫᏳᎰ || ᎦᎪ ᎤᏬᎯᏳᏅ ᎣᎩᏃᎮᎸᎢ? ᎠᎴ ᎦᎪ ᎠᏥᎾᏄᎪᏫᏎᎸ ᎤᎬᏫᏳᎯ ᎧᏃᎨᏂ?"""" || that the word of Isaiah the prophet might be fulfilled, which he spake, Lord, who hath believed our report? And to whom hath the arm of the Lord been revealed?"
3542,accepted_after_repair,,general_parallel,named_entity_heavy,"ᏚᏍᏚᏁᎸ ᏗᏂᎦᏙᎵ, ᎠᎴ ᏚᏍᏓᏱᏕᎸ ᏧᏂᎾᏫ; ᏗᎬᏩᏂᎪᏩᏛᏙᏗ ᏂᎨᏒᎾ ᏗᏂᎦᏙᎵ, ᎠᎴ ᎬᏩᏃᎵᏍᏙᏗ ᏂᎨᏒᎾ ᎤᏂᎾᏫ, ᎠᎴ ᎾᏍᎩ ᏗᎬᏩᎾᏓᏁᏟᏴᎡᏗ ᏂᎨᏒᎾ, ᎠᎴ ᏗᎦᎦᏥᏅᏬᏗ ᏂᎨᏒᎾ.""""","He hath blinded their eyes, and he hardened their heart; Lest they should see with their eyes, and perceive with their heart, And should turn, And I should heal them.","ᏚᏍᏚᏁᎸ ᏗᏂᎦᏙᎵ || ᎠᎴ ᏚᏍᏓᏱᏕᎸ ᏧᏂᎾᏫ; ᏗᎬᏩᏂᎪᏩᏛᏙᏗ ᏂᎨᏒᎾ ᏗᏂᎦᏙᎵ || ᎠᎴ ᎬᏩᏃᎵᏍᏙᏗ ᏂᎨᏒᎾ ᎤᏂᎾᏫ || ᎠᎴ ᎾᏍᎩ ᏗᎬᏩᎾᏓᏁᏟᏴᎡᏗ ᏂᎨᏒᎾ || ᎠᎴ ᏗᎦᎦᏥᏅᏬᏗ ᏂᎨᏒᎾ."""" || He hath blinded their eyes, and he hardened their heart; Lest they should see with their eyes, and perceive with their heart, And should turn, And I should heal them."
3585,accepted_after_repair,,general_parallel,named_entity_heavy,"ᏗᏥᏲᎵ, ᎠᏏ ᏞᎦ ᎢᏨᏰᎳᏗᏙᎭ; ᏍᎩᏲᎮᏍᏗ; ᎠᎴ ᎾᏍᎩᏯ ᎠᏂᏧᏏ ᏥᏂᎦᏥᏪᏎᎸᎩ, ᏫᏥᎦᏛ ᎥᏝ ᏫᏴᎨᏥᎶᎯ, ᏥᎦᏥᏲᏎᎸᎩ, ᎾᏍᎩᏯ ᎾᏍᏉ ᎿᏉ ᏂᎯ ᏂᏨᏪᏎᎭ.","Little children, yet a little while I am with you. Ye shall seek me: and as I said unto the Jews, Whither I go, ye cannot come; so now I say unto you.","ᏗᏥᏲᎵ, ᎠᏏ ᏞᎦ ᎢᏨᏰᎳᏗᏙᎭ; ᏍᎩᏲᎮᏍᏗ; ᎠᎴ ᎾᏍᎩᏯ ᎠᏂᏧᏏ ᏥᏂᎦᏥᏪᏎᎸᎩ, ᏫᏥᎦᏛ ᎥᏝ ᏫᏴᎨᏥᎶᎯ ||  ᏥᎦᏥᏲᏎᎸᎩ, ᎾᏍᎩᏯ ᎾᏍᏉ ᎿᏉ ᏂᎯ ᏂᏨᏪᏎᎭ. || Little children, yet a little while I am with you. Ye shall seek me: and as I said unto the Jews, Whither I go, ye cannot come; so now I say unto you."
3865,accepted_after_repair,,story_narrative,named_entity_heavy|latin_heavy_left,"ᎯᎠᏰᏃ ᏂᎬᏅ ᎪᏪᎳ ᏗᎧᏃᎩᏍᏗ ᎪᏪᎵᎯ, ᎦᏁᎸᎢ ᏅᏔ ᏫᏂᎦᎵᏍᏓ, ᎠᎴ ᏞᏍᏗ ᎩᎶ ᎾᎿ ᏳᏁᎳᏕᏍᏗ;"" ᎠᎴ ᎾᏍᏉ ᎯᎠ ᏂᎬᏅ, ᏧᎸᏫᏍᏓᏁᏗ ᎨᏒ ᏅᏩᏓᎴ ᏩᎩᏍᏓ."", For it is written in the book of Psalms, Let his habitation be made desolate, And let no man dwell therein: and","His office let another take.""","ᎯᎠᏰᏃ ᏂᎬᏅ ᎪᏪᎳ ᏗᎧᏃᎩᏍᏗ ᎪᏪᎵᎯ, ᎦᏁᎸᎢ ᏅᏔ ᏫᏂᎦᎵᏍᏓ || ᎠᎴ ᏞᏍᏗ ᎩᎶ ᎾᎿ ᏳᏁᎳᏕᏍᏗ;"" ᎠᎴ ᎾᏍᏉ ᎯᎠ ᏂᎬᏅ || ᏧᎸᏫᏍᏓᏁᏗ ᎨᏒ ᏅᏩᏓᎴ ᏩᎩᏍᏓ."", For it is written in the book of Psalms || Let his habitation be made desolate || And let no man dwell therein: and || His office let another take."""
3888,accepted_after_repair,,general_parallel,named_entity_heavy,"ᎯᎠᏃ ᏅᏓᎦᎵᏍᏔᏂ ᎤᎵᏍᏆᎸᏗ ᎨᏎᏍᏗ ᎠᏗᎭ ᎤᏁᎳᏅᎯ, ᎾᎦᎥ ᎤᏇᏓᎵ ᎨᏒ ᎠᏆᏓᏅᏙ ᏓᏥᏯᏐᏅᏰᎵ, ᏗᏤᏥᏃ ᎠᏂᏍᎦᏯ ᎠᎴ ᏗᏤᏥ ᎠᏂᎨᏴ ᎠᎾᏙᎴᎰᏍᎨᏍᏗ, ᎠᏂᏫᏅᏃ ᏗᏣᏤᎵ ᎤᎾᏁᎳᏫᏎᎮᏍᏗ, ᏧᎾᏛᏐᏅᎯᏃ ᏗᏣᏤᎵ ᎠᎾᏍᎩᏓᏒᎥᏍᎨᏍᏗ;""","And it shall be in the last days, saith God, I will pour forth of my Spirit upon all flesh: And your sons and your daughters shall prophesy, And your young men shall see visions, And your old men shall dream dreams:","ᎯᎠᏃ ᏅᏓᎦᎵᏍᏔᏂ ᎤᎵᏍᏆᎸᏗ ᎨᏎᏍᏗ ᎠᏗᎭ ᎤᏁᎳᏅᎯ || ᎾᎦᎥ ᎤᏇᏓᎵ ᎨᏒ ᎠᏆᏓᏅᏙ ᏓᏥᏯᏐᏅᏰᎵ || ᏗᏤᏥᏃ ᎠᏂᏍᎦᏯ ᎠᎴ ᏗᏤᏥ ᎠᏂᎨᏴ ᎠᎾᏙᎴᎰᏍᎨᏍᏗ || ᎠᏂᏫᏅᏃ ᏗᏣᏤᎵ ᎤᎾᏁᎳᏫᏎᎮᏍᏗ || ᏧᎾᏛᏐᏅᎯᏃ ᏗᏣᏤᎵ ᎠᎾᏍᎩᏓᏒᎥᏍᎨᏍᏗ;"" || And it shall be in the last days, saith God, I will pour forth of my Spirit upon all flesh: And your sons and your daughters shall prophesy, And your young men shall see visions, And your old men shall dream dreams:"
3896,accepted_after_repair,,story_narrative,named_entity_heavy,"ᏕᏫᏰᏃ ᎯᎠ ᏂᎦᏪ ᎾᏍᎩ ᎧᏃᎮᏍᎬᎢ; ᏂᎪᎯᎸ ᏥᎪᏩᏘᏍᎬᎩ ᏱᎰᏩ ᎢᎬᏱᏢ ᎠᏆᎧᏛᎢ, ᏥᎦᏘᏏᏗᏢᏰᏃ ᎦᏙᎦ, ᎾᏍᎩ ᎥᎩᏖᎸᏗᏱ ᏂᎨᏒᎾ.""","For David saith concerning him, I beheld the Lord always before my face; For he is on my right hand, that I should not be moved:","ᏕᏫᏰᏃ ᎯᎠ ᏂᎦᏪ ᎾᏍᎩ ᎧᏃᎮᏍᎬᎢ; ᏂᎪᎯᎸ ᏥᎪᏩᏘᏍᎬᎩ ᏱᎰᏩ ᎢᎬᏱᏢ ᎠᏆᎧᏛᎢ || ᏥᎦᏘᏏᏗᏢᏰᏃ ᎦᏙᎦ || ᎾᏍᎩ ᎥᎩᏖᎸᏗᏱ ᏂᎨᏒᎾ."" || For David saith concerning him, I beheld the Lord always before my face; For he is on my right hand, that I should not be moved:"
3905,accepted_after_repair,,general_parallel,named_entity_heavy|latin_heavy_left,"ᏕᏫᏰᏃ ᎥᏝ ᏳᎵᏌᎳᏓᏅ ᎦᎸᎳᏗ ᏫᏳᎶᏒ, ᎯᎠᏰᏃ ᏂᎦᏪ ᎤᏩᏒ; ᏱᎰᏩ ᎯᎠ ᏄᏪᏎᎸ ᎤᎬᏫᏳᎯ ᎠᏆᏤᎵᎦ; ᏥᎦᏘᏏ ᎢᏗᏢᏦᎴᏍᏗ, , For David ascended not into the heavens: but he saith himself, The Lord said unto my Lord, Sit thou on my right hand, ᎬᏂ ᎨᏣᏍᎦᎩ ᏗᏣᎳᏏᏗᏱ ᎦᏍᎩᎶ ᏂᎦᏥᏴᏁᎸᎭ.""""",Till I make thine enemies the footstool of thy feet.,"ᏕᏫᏰᏃ ᎥᏝ ᏳᎵᏌᎳᏓᏅ ᎦᎸᎳᏗ ᏫᏳᎶᏒ, ᎯᎠᏰᏃ ᏂᎦᏪ ᎤᏩᏒ; ᏱᎰᏩ ᎯᎠ ᏄᏪᏎᎸ ᎤᎬᏫᏳᎯ ᎠᏆᏤᎵᎦ; ᏥᎦᏘᏏ ᎢᏗᏢᏦᎴᏍᏗ || , For David ascended not into the heavens: but he saith himself || The Lord said unto my Lord || Sit thou on my right hand || 
ᎬᏂ ᎨᏣᏍᎦᎩ ᏗᏣᎳᏏᏗᏱ ᎦᏍᎩᎶ ᏂᎦᏥᏴᏁᎸᎭ."""" || Till I make thine enemies the footstool of thy feet."
3939,accepted_after_repair,,general_parallel,,"ᎼᏏᏰᏃ ᎯᎠ ᏂᏕᎤᏪᏎᎴ ᏗᎩᏙᏓ; ᏱᎰᏩ ᎢᏣᏁᎳᏅᎯ ᏓᏥᎾᏄᎪᏫᏎᎵ ᎠᏙᎴᎰᏍᎩ ᎢᏣᎵᏅᏟ ᎨᏒ ᏓᎦᎾᏄᎪᏥ, ᎠᏴ ᎾᏍᎩᏯᎢ; ᎾᏍᎩ ᏓᏰᏣᏛᏓᏍᏓᏁᎵ ᏂᎦᎥ ᎢᏥᏁᏤᏗ ᎨᏒᎢ.""","Moses indeed said, A prophet shall the Lord God raise up unto you from among your brethren, like unto me; to him shall ye hearken in all things whatsoever he shall speak unto you.","ᎼᏏᏰᏃ ᎯᎠ ᏂᏕᎤᏪᏎᎴ ᏗᎩᏙᏓ; ᏱᎰᏩ ᎢᏣᏁᎳᏅᎯ ᏓᏥᎾᏄᎪᏫᏎᎵ ᎠᏙᎴᎰᏍᎩ ᎢᏣᎵᏅᏟ ᎨᏒ ᏓᎦᎾᏄᎪᏥ || ᎠᏴ ᎾᏍᎩᏯᎢ; ᎾᏍᎩ ᏓᏰᏣᏛᏓᏍᏓᏁᎵ ᏂᎦᎥ ᎢᏥᏁᏤᏗ ᎨᏒᎢ."" || Moses indeed said, A prophet shall the Lord God raise up unto you from among your brethren, like unto me; to him shall ye hearken in all things whatsoever he shall speak unto you."
